"Price","AdSpend","Traffic","Sales","Predicted values 1","Predicted values 2","Predicted values 3","Residuals 1","Residuals 2","Residuals 3","Cook's distance 1","Cook's distance 2","Cook's distance 3"
72.01,16273.87,260.59,3327.27,3353.595399193018,3891.528659920696,3611.6039926534613,-26.325399193001076,-564.2586599206835,-284.33399265345656,8.18944782219723e-06,0.009708766407761782,0.004690586100682878
98.49,17396.55,370.76,4316.45,3191.402911255628,3876.8650860264515,4161.005095072911,1125.047088744374,439.5849139735506,155.44490492709062,0.014002705467840272,0.007482372552052262,0.0017138469774760452
42.28,14926.91,416.91,4405.7,3535.694442485261,3898.1515623629175,4455.546397886979,870.0055575147393,507.5484376370844,-49.846397886977684,0.03797322547798953,0.019388089766908697,0.000420209106816253
43.98,17354.99,329.24,4225.15,3525.281782761184,4165.268004971583,4245.854130570895,699.8682172388162,59.881995028417755,-20.7041305708982,0.022885228015389232,0.00030967932534991806,5.5694581222989326e-05
91.82,9333.13,348.44,3099.87,3232.2572879377426,2995.3062147479213,3217.486880812508,-132.38728793774175,104.56378525207944,-117.6168808125078,0.00014873785000828267,0.0001555583493721712,0.0003981975262813794
99.61,13279.19,391.25,3809.47,3184.5428060256477,3402.3836129354195,3821.116039399929,624.9271939743529,407.0863870645812,-11.646039399928949,0.00456201716220756,0.003007935349880352,7.4142496823373035e-06
41.81,9959.64,318.94,3814.0,3538.5732366442708,3335.5206891654193,3411.652094524602,275.42676335573,478.47931083458144,402.3479054753982,0.0038804161375832645,0.01637671951584293,0.017428167380607006
113.97,8552.59,341.33,3088.05,3096.5864568269726,2787.3859194958573,2971.668488654632,-8.536456826971452,300.6640805041442,116.38151134536871,1.7907824684944091e-06,0.003452829535408646,0.0008459569402232551
62.09,9525.5,250.26,2724.27,3414.3563312299857,3177.068615445529,2890.251466962244,-690.086331229985,-452.7986154455278,-165.9814669622435,0.009436086795369704,0.006083547651259724,0.0015813765322956845
89.42,8496.04,302.63,2507.33,3246.9575134305574,2912.971262285684,2900.828434313411,-739.6275134305565,-405.6412622856831,-393.49843431341094,0.004385931794092271,0.0026835233683826496,0.0037684071475217774
88.88,11235.4,370.84,3770.55,3250.2650641664404,3227.5497993703752,3555.473340462004,520.2849358335604,543.000200629626,215.07665953799597,0.0021506890595001916,0.0031776660049413915,0.0015054299648680077
89.96,12611.46,252.17,3229.69,3243.649962694674,3378.305238990144,3073.811729671269,-13.959962694673045,-148.6152389901433,155.87827032873207,1.5789248258489464e-06,0.0002616617554132776,0.0007746255542092171
40.0,13451.03,242.77,3518.29,3549.6596567034353,3742.4920446017486,3396.046510050751,-31.369656703434565,-224.20204460174804,122.24348994925005,5.418953062053788e-05,0.0038518382410032332,0.0020285732324405487
110.59,9839.36,299.27,2416.6,3117.28927439602,2951.9662327801157,2907.778462737245,-700.6892743960192,-535.3662327801146,-491.1784627372444,0.01015506682619322,0.008420815523079935,0.01064219028931394
94.18,14340.72,254.73,3085.22,3217.8020662031413,3552.3609425741824,3248.7411211126455,-132.58206620314056,-467.14094257418185,-163.52112111264523,0.0001614191517987736,0.003911988091575902,0.0010983820774092615
70.06,9788.27,241.42,2077.47,3365.5393324059296,3164.106400914735,2827.068328870674,-1288.0693324059291,-1086.636400914734,-749.5983288706738,0.021640418379397612,0.02321713507720725,0.026478558631343494
40.0,15570.32,361.78,3951.81,3549.6596567034353,3983.617331095,4247.907460762536,402.15034329656544,-31.807331094999576,-296.0974607625362,0.00890579604226677,8.627946028504656e-05,0.012258139322630092
76.77,11124.66,377.72,3331.03,3324.4399519656017,3280.0725966227606,3647.9932140084456,6.590048034399103,50.95740337724053,-316.9632140084455,4.130740236183411e-07,3.3674373774381736e-05,0.004045186770565035
99.88,7287.16,326.03,2538.81,3182.889030657706,2719.1797843177274,2835.1894642755724,-644.0790306577053,-180.36978431772624,-296.37946427557233,0.004911140540877017,0.0008702260713696616,0.0036892333207460704
63.07,13180.6,215.05,3438.05,3408.353739153753,3587.6628862103366,3091.495728254502,29.69626084624793,-149.61288621033574,346.55427174549885,1.6602014664347757e-05,0.0006066295242585659,0.009654771468857392
89.99,22671.24,291.29,4659.78,3243.4662098760136,4522.709938441728,4356.855209821576,1416.313790123987,137.0700615582727,302.92479017842453,0.016262330653656048,0.0018622209432148987,0.014029102008190618
114.88,12253.83,218.79,3238.52,3091.0126213276135,3203.606265591673,2719.774836624073,147.50737867238726,34.91373440832829,518.7451633759282,0.0005595559341819243,4.322090416612095e-05,0.02464857826526588
101.57,12034.86,292.32,2522.49,3172.5376218731826,3250.2681247828705,3157.3707588572483,-650.0476218731817,-727.7781247828699,-634.880758857248,0.005448804334688896,0.0094011259905853,0.011201805612312335
101.05,14812.28,351.44,3915.9,3175.7226707299587,3569.06944199599,3768.25895420239,740.177329270042,346.83055800401166,147.64104579761064,0.006879245064832419,0.002971414098393148,0.0009387454546963827
98.72,14045.26,473.09,4265.3,3189.9941396459,3494.3303751157764,4337.866133824703,1075.3058603541012,770.9696248842243,-72.56613382470316,0.012933661502681257,0.011717675756573653,0.0007901940655183964
84.41,9621.56,299.95,3265.64,3277.6442341468082,3067.9705663904183,3035.5921912828453,-12.004234146807438,197.66943360958246,230.04780871715477,1.1256423478701303e-06,0.0004967135927622716,0.0010114489286584848
60.89,3046.59,230.66,2731.02,3421.706443976393,2446.3743416177263,2099.947289383229,-690.6864439763924,284.6456583822743,631.0727106167716,0.010059209221286221,0.006463923212924911,0.055991844614994776
103.0,9136.89,285.71,3363.89,3163.778737517047,2912.8574660498825,2804.1103459624487,200.1112624829539,451.03253395011836,559.7796540375516,0.0005560502355425498,0.0044602597399663576,0.010819594465547679
67.77,16322.01,371.55,4139.46,3379.5657975636573,3919.8067647907455,4223.195061252834,759.8942024363433,219.65323520925554,-83.73506125283416,0.008486308415885633,0.0016722284964617899,0.0004669521074241766
62.4,13112.51,352.93,3566.6,3412.4575521038305,3583.5188213956403,3811.83710325021,154.1424478961702,-16.918821395639604,-245.23710325021005,0.0004632472224091364,7.976621424638442e-06,0.0029961274644037103
99.74,15260.82,431.34,3818.08,3183.7465438114536,3627.1473493223684,4243.170645923226,634.3334561885471,190.93265067763267,-425.09064592322693,0.0047306837435625365,0.0009370870537310588,0.01821987379598823
